Measure Mode: wall_time
Thread ID: 69917501084600
Fiber ID: 69917530404360
Total: 54.721102
Sort by: self_time

 %self      total      self      wait     child     calls  name
 19.17     19.015    10.492     8.524     0.000     6000   IO#gets
 16.65      9.109     9.109     0.000     0.000      106   <Class::IO>#select
 10.41      5.694     5.694     0.000     0.000    10001   <Class::IO>#read
  7.50      4.102     4.102     0.000     0.000     2000   <Class::Thread>#start
  4.12     16.947     2.255     0.000    14.692        2   <Class::Dir>#glob
  4.04      2.357     2.211     0.145     0.000     1103   TCPSocket#initialize
  2.85      1.557     1.557     0.000     0.000     1000   <Class::File>#mtime
  1.84      1.072     1.005     0.067     0.000    29223   IO#write
  1.78      0.985     0.977     0.008     0.000     1105   IO#close
  1.13      0.668     0.618     0.050     0.000     1009   PG::Connection#async_exec
  0.96      0.587     0.526     0.062     0.000     1000   Thread#join
  0.79     30.016     0.431     0.001    29.585     8114  *Mutex#synchronize
  0.49      0.265     0.265     0.000     0.000        4   JSON::Ext::Parser#parse
  0.46      0.602     0.250     0.000     0.351     1118   Kernel#loop
  0.41      0.824     0.222     0.000     0.602     1118   <Class::RubyVM::DebugInspector>#open
  0.40      0.253     0.216     0.000     0.036    47501   RubyVM::DebugInspector#frame_binding
  0.31      0.313     0.168     0.000     0.145      212   IO#read_nonblock
  0.28      0.155     0.155     0.000     0.000     2109   Regexp#match
  0.22     54.721     0.120     0.000    54.601        1   Global#[No method]
  0.18      0.537     0.099     0.000     0.438     7226   Hash#each
  0.18      4.922     0.096     0.000     4.825     1000   Proc#call
  0.15      0.081     0.081     0.000     0.000    54697   Kernel#instance_variable_set
  0.14      0.236     0.077     0.000     0.159     1000   Stomp::Client#parse_stomp_url
  0.14      0.463     0.074     0.000     0.389    14039  *Array#map
  0.13      0.081     0.074     0.000     0.007     3009   Time#strftime
  0.13      0.073     0.073     0.000     0.000        1   IO#read
  0.13      0.069     0.069     0.000     0.000    35736   Symbol#to_s
  0.12      0.070     0.065     0.000     0.005    19410   Kernel#respond_to?
  0.11     29.009     0.060     0.000    28.949    32569  *Class#new
  0.11      0.058     0.058     0.000     0.000    23834   Regexp#===
  0.10      0.088     0.053     0.000     0.035    13380   <Class::Time>#now
  0.08      0.066     0.046     0.002     0.019    27007   Comparable#>=
  0.08      0.042     0.042     0.000     0.000     5032   <Class::ActiveRecord::Base>#logger
  0.08      0.265     0.041     0.000     0.224     7021   MonitorMixin#mon_synchronize
  0.07      0.728     0.039     0.000     0.689    10001   IO#puts
  0.07      0.036     0.036     0.000     0.000    12042   Array#join
  0.07     24.798     0.036     0.000    24.762     1000   Stomp::Connection#connect
  0.06      0.789     0.035     0.000     0.754    10000   Stomp::Connection#_wire_write
  0.06     19.042     0.034     0.000    19.008     1000   Stomp::Connection#_init_line_read
  0.06     36.267     0.034     0.000    36.234    22691  *Array#each
  0.06      0.071     0.033     0.000     0.038     3007   Loggable::ClassMethods#logger
